MIMU,"Miraj Cinemas: M4U, Sahibabad",,GHAZ,Ghaziabad,28.6791,77.3589,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
MMOC,Movie Magic Cinema: Ghaziabad,,GHAZ,Ghaziabad,28.7354,77.285,Y,BT,N,N,Y,AC,Y,false,false,false,2018-10-29 19:15:00
MOPL,Movie Palace: Ghaziabad,,GHAZ,Ghaziabad,28.6854,77.3322,Y,BT,N,N,Y,,Y,false,false,false,2018-10-29 19:15:00
MTCN,Movietime: Omaxe NRI Mall Greater Noida,,GRET,Greater Noida,28.4591,77.5085,Y,VS,N,Y,N,AC,Y,true,false,false,2018-10-29 19:15:00
MTND,Movietime: Dharam Palace Mall,,NOIDA,Noida,28.5717,77.3225,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
MTPP,Movietime: Pitampura,,DELHI,Delhi,28.7133,77.1466,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
MTRG,Movietime: Raja Garden,,DELHI,Delhi,28.6522,77.1233,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PLXG,"PVR: Rajnigandha GOLD, Logix City Centre, Noida",,NOIDA,Noida,28.5743,77.3534,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PMPM,"PM Cinemas: Parsvnath Mall, Manhattan",,FARI,Faridabad,28.4065,77.3106,Y,SB,N,N,Y,,Y,false,false,false,2018-10-29 19:15:00
PNVX,PVR ONYX Promenade: Vasant Kunj,,DELHI,Delhi,28.5423,77.1558,Y,VS,N,N,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PRLI,"PVR: Logix (IMAX), Noida",,NOIDA,Noida,28.5743,77.3534,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PV3C,"PVR: 3CS, Delhi",,DELHI,Delhi,28.5679,77.2411,Y,VS,N,Y,N,AC,Y,true,false,false,2018-10-29 19:15:00
